"hotelName;stars;price;cityName;countryCode;countryName;address;location;url;latitude;longitude"
"Los Naranjos Hotel Ushuaia;3;92;Ushuaia;AR;Argentina;San Martín 1446;Ushuaia Argentina;http://www.losnaranjosushuaia.com/menunaranjos.php;-54.8097;-68.3179"
"Mysten Kepen B&B;1;81;Ushuaia;AR;Argentina;Rivadavia 826;Ushuaia Argentina;;-54.7995;-68.3078"
"Patagonia Pais;1.5;17;Ushuaia;AR;Argentina;Alem 152;Ushuaia Argentina;;-54.7991;-68.3041"
"Patagonia Sur Aparthotel;2;95;Ushuaia;AR;Argentina;Avenida Hipolito Yrigoyen 2031;Ushuaia Argentina;http://www.gosur.com.ar/es/23962_ushuaia/tema/hoteles-familia-9.html;-54.828;-68.3476"
"Patagonia Villa Lodge Ushuaia;3;105;Ushuaia;AR;Argentina;Bahia Buen Suceso 563;Ushuaia Argentina;http://www.patagoniavilla.com/v2/;-54.7958;-68.2911"
"Posada Del Pinguino;1;130;Ushuaia;AR;Argentina;Gobernador Deloqui 648;Ushuaia Argentina;http://www.posadadelpinguino.com/;-54.8062;-68.3078"
"Posada Fueguina;3;123;Ushuaia;AR;Argentina;Laserre 438;Ushuaia Argentina;http://posadafueguina.com/;-54.8037;-68.3073"
"Residencia Linares;2;99999;Ushuaia;AR;Argentina;Deloqui 1522;Ushuaia Argentina;;-54.8062;-68.3207"
"Tango B&B Ushuaia;3;94;Ushuaia;AR;Argentina;Gobernador Valdez 950;Ushuaia Argentina;http://www.tangobyb.com.ar/index.php;-54.8026;-68.3151"
"Terrazas del Beagle;3;64;Ushuaia;AR;Argentina;Del Tolkeyen 1190;Ushuaia Argentina;http://www.lasterrazasdellago.com.ar/tierra-del-fuego/tierra-del-fuego.php;-54.8335;-68.3466"
"The House Inn Ushuaia;2;78;Ushuaia;AR;Argentina;Gobernador Paz 1410;Ushuaia Argentina;http://www.innsofargentina.com/hotels/ushuaia/;-54.808;-68.3186"
"Tierra de Leyendas;3;170;Ushuaia;AR;Argentina;Calle Tierra de Vientos 2448;Ushuaia Argentina;http://www.tierradeleyendas.com.ar;-54.8371;-68.359"
"Tolkeyen Hotel;4;99999;Ushuaia;AR;Argentina;Del Tolkeyen 2145;Ushuaia Argentina;http://tolkeyenhotel.com/;-54.834;-68.3494"
"Via Rondine;3;54;Ushuaia;AR;Argentina;Hipolito Irigoyen 797;Ushuaia Argentina;;-54.827;-68.3313"
"Villa Brescia Hotel;3;101;Ushuaia;AR;Argentina;San Martín Nº 1299;Ushuaia Argentina;http://www.villabresciahotel.com.ar/;-54.8092;-68.3159"
"Hosteria Kaiken;2.5;99999;Tolhuin;AR;Argentina;Ruta Nacional 3 Km. 2958;Tolhuin Argentina;;-54.5536;-67.2265"
"Aldea Tierra Del Fuego;3;99999;Puerto Yartou;CL;Chile;Ruta Y 897 Km 60;Puerto Yartou Chile;http://aldeatierradelfuego.com/index.php?lang=es;-53.9391;-70.14"
"Barlovento Hotel;4;99999;Porvenir;CL;Chile;John Williams Pasaje 1 N 2;Porvenir Chile;http://www.hotelbarlovento.cl/ubicacion_ing.html;-53.2962;-70.3789"
"Cabanas Altos De Baquedano;2;99999;Porvenir;CL;Chile;Santa Maria 644;Porvenir Chile;;-53.3053;-70.361"
"Cabañas Ariskaiken;2;69;Punta Arenas;CL;Chile;Maipú 1060 6200000;Punta Arenas Chile;;-53.1592;-70.8925"
"Cabo de Hornos Hotel;4;115;Punta Arenas;CL;Chile;Plaza Munoz Gamero 1025;Punta Arenas Chile;http://www.hotelcabodehornos.com/;-53.1628;-70.9066"
"Chalet Chapital Hotel;3;89;Punta Arenas;CL;Chile;Armando Sanhueza 974;Punta Arenas Chile;http://www.hotelchaletchapital.cl/index.php?page=hotel-in-punta-arenas;-53.158;-70.9094"
